keys,de
ABOUT_CLOSE,Schließen
ABOUT_CONTACT,Erfahre mehr über NinStar
ABOUT_CREDITS,Credits
ABOUT_HELP,Hilfe
ABOUT_LICENSE,Lizenz
ABOUT_PAGE,Startseite
ABOUT_TITLE,Über
ABOUT_VERSION,Version
AUTOCONNECT_HINT,"Wenn die Anwendung gestartet wird, versucht sie automatisch, eine Verbindung zu Discord herzustellen."
AUTOCONNECT_TITLE,Automatische Verbindung beim Start
CONNECTION_ERROR_CLOSE,Schließen
CONNECTION_ERROR_HINT,"Es kann keine Verbindung zu Discord hergestellt werden.\n\nÜberprüfe deine Internetverbindung oder starte die App neu. Stelle sicher, dass du die Desktop-Version von Discord verwendest."
CONNECTION_ERROR_TITLE,Verbindungsfehler
DATA_HINT,"Sei dir bewusst, dass diese Aktionen nicht rückgängig gemacht werden können."
DATA_TITLE,Daten
DEBUG_HINT,Erzeugt eine Log-Datei für die Fehlersuche.
DEBUG_TITLE,Debug-Log
DESCRIPTION_HINT,"Ein Text, der unterhalb des Spieltitels angezeigt wird."
DESCRIPTION_HINT_RECENT,Vorherige Beschreibungen
DESCRIPTION_TITLE,Beschreibung
ELAPSED_TIME_TITLE,Verstrichene Zeit anzeigen
GAME_HINT_CUSTOM,Benutzerdefinierter Eintrag. Der eingegebene Text wird als Titel in deinem Status verwendet.
GAME_HINT_NONE,Du hast kein Spiel ausgewählt. Es wird nur der Name deiner Konsole angezeigt.
GAME_HINT_RECENT,Vorherige Spiele
GAME_HINT_TYPE,"Tippe hier, um ein Spiel zu finden"
GAME_TITLE,Spiel
INVISIBLE_STATUS_CLOSE,Alles klar
INVISIBLE_STATUS_HINT,"Dein Status ist zurzeit unsichtbar.\n\nMach ihn wieder sichtbar, um deine Änderungen auf Discord zu sehen.\n\nBeachte, dass er sofort nach dem Umschalten sichtbar ist."
INVISIBLE_STATUS_TITLE,Moment mal!
KEEPON_TITLE,Bildschirm anlassen
KEEPON_HINT,"Verhindert, dass der Bildschirmschoner aktiviert wird, während dein Status sichtbar ist. Nützlich, wenn du die App immer aktiv halten willst, ohne deine Systemeinstellungen ändern zu müssen."
LANGUAGE_AUTO,Automatisch
LANGUAGE_TITLE,Sprache
MINIMAL_STATUS_HINT,"Verkleinert das Spielsymbol und zeigt nur die wichtigsten Informationen an, die in deinem Status eingestellt sind."
MINIMAL_STATUS_TITLE,Minimaler Status
PARTY_HINT_VISIBILITY,Sichtbarkeit umschalten
PARTY_OF,von
PARTY_TITLE,Gruppengröße
PRESERVE_TIME_HINT,Die verstrichene Zeit wird bei einem Spielwechsel nicht zurückgesetzt.
PRESERVE_TIME_TITLE,Verstrichene Zeit speichern
REFRESH_12H,Alle 12 Stunden
REFRESH_DAILY,Täglich
REFRESH_DISABLED,Niemals
