keys,pt
ABOUT_CLOSE,Fechar
ABOUT_CONTACT,Saiba mais sobre NinStar
ABOUT_CREDITS,Créditos
ABOUT_HELP,Ajuda
ABOUT_LICENSE,Licença
ABOUT_PAGE,Página inicial
ABOUT_TITLE,Sobre
ABOUT_VERSION,Versão
AUTOCONNECT_HINT,"Quando iniciado, o aplicativo tentará se conectar automaticamente ao Discord."
AUTOCONNECT_TITLE,Conexão automática ao iniciar
CONNECTION_ERROR_CLOSE,Fechar
CONNECTION_ERROR_HINT,"Não foi possível estabelecer uma conexão com o Discord.\n\nVerifique sua conexão com a internet ou reinicie o aplicativo, certifique-se de estar usando a versão desktop do Discord."
CONNECTION_ERROR_TITLE,Erro de conexão
DATA_HINT,Esteja ciente de que essas ações não podem ser desfeitas.
DATA_TITLE,Dados
DEBUG_HINT,Gera um arquivo de log para solução de problemas.
DEBUG_TITLE,Registro de depuração
DESCRIPTION_HINT,Um texto para ser mostrado abaixo do título do jogo.
DESCRIPTION_HINT_RECENT,Descrições recentes
DESCRIPTION_TITLE,Descrição
ELAPSED_TIME_TITLE,Exibir tempo decorrido
GAME_HINT_CUSTOM,Entrada personalizada. O texto será usado como um título no seu status.
GAME_HINT_NONE,Você não selecionou um jogo. Apenas o nome do seu console será exibido.
GAME_HINT_RECENT,Jogos recentes
GAME_HINT_TYPE,Digite aqui para buscar por um jogo
GAME_TITLE,Jogo
INVISIBILE_STATUS_CLOSE,Certo
INVISIBLE_STATUS_HINT,Seu status está invisível no momento.\n\nTorne-o visível novamente para que você possa ver suas alterações no Discord.\n\nEsteja ciente de que ficará visível imediatamente depois de alternado.
INVISIBLE_STATUS_TITLE,Espera ai!
LANGUAGE_AUTO,Automático
LANGUAGE_TITLE,Idioma
MINIMAL_STATUS_HINT,Reduz o tamanho do ícone do jogo e exibe apenas as informações mais relevantes definidas no seu status.
MINIMAL_STATUS_TITLE,Status mínimo
PARTY_HINT_VISIBILITY,Alternar visibilidade
PARTY_OF,de
PARTY_TITLE,Tamanho da sala
PRESERVE_TIME_HINT,Seu tempo decorrido não será redefinido ao alternar jogos.
PRESERVE_TIME_TITLE,Preservar tempo decorrido
REFRESH_12H,A cada 12 horas
REFRESH_DAILY,Todos os dias
REFRESH_DISABLED,Nunca
REFRESH_HINT,Esta ação será executada toda vez que você abrir o aplicativo de acordo com o intervalo de tempo definido.
REFRESH_NOW,Checar agora
REFRESH_TITLE,Checar por novos títulos
REFRESH_WEEKLY,Toda semana
REFRESHING_DONE,Pronto!
REFRESHING_INIT,Preparando...\nVai levar apenas um momento.
REFRESHING_STEP_1,Baixando arquivos...\nVai levar apenas um momento.
REFRESHING_STEP_2,Baixando arquivos...\nQuase lá.
REGION_EU,Europa
REGION_JP,Japão
REGION_TITLE,Região de preferência
REGION_US,Américas
