keys,nl
ABOUT_CLOSE,Sluiten
ABOUT_CONTACT,Leer meer over NinStar
ABOUT_CREDITS,Credits
ABOUT_HELP,Help
ABOUT_LICENSE,Licentie
ABOUT_PAGE,Homepagina
ABOUT_TITLE,Over
ABOUT_VERSION,Versie
AUTOCONNECT_HINT,Wanneer de applicatie is opgestart zal het zich automatisch proberen te verbinden met Discord.
AUTOCONNECT_TITLE,Automatisch verbinden bij starten
CONNECTION_ERROR_CLOSE,Sluiten
CONNECTION_ERROR_HINT,"Kan geen verbinding maken met Discord.\n\nCheck je internetverbinding of start de app opnieuw op, zorg ervoor dat je de desktopversie van Discord gebruikt."
CONNECTION_ERROR_TITLE,Connectie error
DATA_HINT,Let op dat deze acties niet ongedaan kunnen worden.
DATA_TITLE,Data
DEBUG_HINT,Genereert een logbestand voor het oplossen van problemen.
DEBUG_TITLE,Debuglog
DESCRIPTION_HINT,Een tekst die wordt weergegeven onder de titel van het spel.
DESCRIPTION_HINT_RECENT,Recente beschrijvingen
DESCRIPTION_TITLE,Beschrijving
ELAPSED_TIME_TITLE,Verstreken tijd weergeven
GAME_HINT_CUSTOM,Aangepaste invoer. De getypte tekst zal worden gebruikt als een titel in je status.
GAME_HINT_NONE,Je hebt geen game geselecteerd. Alleen je consolenaam zal worden weergegeven.
GAME_HINT_RECENT,Recente games
GAME_HINT_TYPE,Typ hier om een game te vinden
GAME_TITLE,Game
INVISIBILE_STATUS_CLOSE,Oké
INVISIBLE_STATUS_HINT,Je status is momenteel onzichtbaar.\n\nMaak het zichtbaar om je veranderingen te zien op Discord.\n\nLet op dat het onmiddelijk zichtbaar wordt na het omschakelen.
INVISIBLE_STATUS_TITLE,Hé!
LANGUAGE_AUTO,Automatisch
LANGUAGE_TITLE,Taal
MINIMAL_STATUS_HINT,Maak het gameicoon kleiner en laat alleen de meest relevante informatie zien in je status.
MINIMAL_STATUS_TITLE,Minimale status
PARTY_HINT_VISIBILITY,Zichtbaarheid omschakelen
PARTY_OF,van
PARTY_TITLE,Partygrootte
PRESERVE_TIME_HINT,Je verstreken tijd zal niet worden gereset wanneer je van game veranderd.
